Symptoms,,,,,,,
Severe,sudden eye pain,Recurrent pain in or around the eye,Hazy,blurred,or double vision,Seeing floating ?spider webs?,
Severe,sudden eye pain,Recurrent pain in or around the eye,Hazy,blurred,or double vision,Seeing floating ?spider webs?,
Severe,sudden eye pain,Recurrent pain in or around the eye,Hazy,blurred,or double vision,Seeing floating ?spider webs?,
Severe,sudden eye pain,Recurrent pain in or around the eye,Hazy,blurred,or double vision,Seeing floating ?spider webs?,
Severe,sudden eye pain,Recurrent pain in or around the eye,Hazy,blurred,or double vision,Seeing floating ?spider webs?,
Severe,sudden eye pain,Recurrent pain in or around the eye,Hazy,blurred,or double vision,Seeing floating ?spider webs?,
Severe,sudden eye pain,Recurrent pain in or around the eye,Hazy,blurred,or double vision,Seeing floating ?spider webs?,
Severe,sudden eye pain,Recurrent pain in or around the eye,Hazy,blurred,or double vision,Seeing floating ?spider webs?,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Chest pain or discomfort,Weakness,light-headedness,nausea,or a cold sweat,Shortness of breath.,,
Chest pain or discomfort,Weakness,light-headedness,nausea,or a cold sweat,Shortness of breath.,,
Chest pain or discomfort,Weakness,light-headedness,nausea,or a cold sweat,Shortness of breath.,,
Chest pain or discomfort,Weakness,light-headedness,nausea,or a cold sweat,Shortness of breath.,,
Chest pain or discomfort,Weakness,light-headedness,nausea,or a cold sweat,Shortness of breath.,,
Chest pain or discomfort,Weakness,light-headedness,nausea,or a cold sweat,Shortness of breath.,,
Chest pain or discomfort,Weakness,light-headedness,nausea,or a cold sweat,Shortness of breath.,,
Chest pain or discomfort,Weakness,light-headedness,nausea,or a cold sweat,Shortness of breath.,,
Chest pain or discomfort,Weakness,light-headedness,nausea,or a cold sweat,Shortness of breath.,,
Chest pain or discomfort,Weakness,light-headedness,nausea,or a cold sweat,Shortness of breath.,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath.,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Tingling or numbness,Weakness,,,,,,
Clouded,blurred or dim vision,Increasing difficulty with vision at night,Sensitivity to light and glare.,,,,
Clouded,blurred or dim vision,Increasing difficulty with vision at night,Sensitivity to light and glare.,,,,
Clouded,blurred or dim vision,Increasing difficulty with vision at night,Sensitivity to light and glare.,,,,
Clouded,blurred or dim vision,Increasing difficulty with vision at night,Sensitivity to light and glare.,,,,
Clouded,blurred or dim vision,Increasing difficulty with vision at night,Sensitivity to light and glare.,,,,
Clouded,blurred or dim vision,Increasing difficulty with vision at night,Sensitivity to light and glare.,,,,
Clouded,blurred or dim vision,Increasing difficulty with vision at night,Sensitivity to light and glare.,,,,
Clouded,blurred or dim vision,Increasing difficulty with vision at night,Sensitivity to light and glare.,,,,
Clouded,blurred or dim vision,Increasing difficulty with vision at night,Sensitivity to light and glare.,,,,
Clouded,blurred or dim vision,Increasing difficulty with vision at night,Sensitivity to light and glare.,,,,
Clouded,blurred or dim vision,Increasing difficulty with vision at night,Sensitivity to light and glare.,,,,
Clouded,blurred or dim vision,Increasing difficulty with vision at night,Sensitivity to light and glare.,,,,
Clouded,blurred or dim vision,Increasing difficulty with vision at night,Sensitivity to light and glare.,,,,
Clouded,blurred or dim vision,Increasing difficulty with vision at night,Sensitivity to light and glare.,,,,
Clouded,blurred or dim vision,Increasing difficulty with vision at night,Sensitivity to light and glare.,,,,
Back or neck pain,Nausea and/or vomiting,Pain radiating in the arms or legs,,,,,
Back or neck pain,Nausea and/or vomiting,Pain radiating in the arms or legs,,,,,
Back or neck pain,Nausea and/or vomiting,Pain radiating in the arms or legs,,,,,
Back or neck pain,Nausea and/or vomiting,Pain radiating in the arms or legs,,,,,
Back or neck pain,Nausea and/or vomiting,Pain radiating in the arms or legs,,,,,
Back or neck pain,Nausea and/or vomiting,Pain radiating in the arms or legs,,,,,
Back or neck pain,Nausea and/or vomiting,Pain radiating in the arms or legs,,,,,
Back or neck pain,Nausea and/or vomiting,Pain radiating in the arms or legs,,,,,
Back or neck pain,Nausea and/or vomiting,Pain radiating in the arms or legs,,,,,
Back or neck pain,Nausea and/or vomiting,Pain radiating in the arms or legs,,,,,
Pain,Nausea or vomiting,Fever or chills,Chronic diarrhea.,,,,
Pain,Nausea or vomiting,Fever or chills,Chronic diarrhea.,,,,
Pain,Nausea or vomiting,Fever or chills,Chronic diarrhea.,,,,
Pain,Nausea or vomiting,Fever or chills,Chronic diarrhea.,,,,
Pain,Nausea or vomiting,Fever or chills,Chronic diarrhea.,,,,
Pain,Nausea or vomiting,Fever or chills,Chronic diarrhea.,,,,
Pain,Nausea or vomiting,Fever or chills,Chronic diarrhea.,,,,
Pain,Nausea or vomiting,Fever or chills,Chronic diarrhea.,,,,
Pain,Nausea or vomiting,Fever or chills,Chronic diarrhea.,,,,
Pain,Nausea or vomiting,Fever or chills,Chronic diarrhea.,,,,
weight loss and poor appetite,swollen ankles,feet or hands,shortness of breath.,,,,
weight loss and poor appetite,swollen ankles,feet or hands,shortness of breath.,,,,
weight loss and poor appetite,swollen ankles,feet or hands,shortness of breath.,,,,
weight loss and poor appetite,swollen ankles,feet or hands,shortness of breath.,,,,
weight loss and poor appetite,swollen ankles,feet or hands,shortness of breath.,,,,
weight loss and poor appetite,swollen ankles,feet or hands,shortness of breath.,,,,
weight loss and poor appetite,swollen ankles,feet or hands,shortness of breath.,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Rectal bleeding or blood in your stool,Persistent abdominal discomfort,such as cramps,gas or pain,,,,
Sore throat,Cough,Headache,Stuffy nose,Sneezing,,,
Sore throat,Cough,Headache,Stuffy nose,Sneezing,,,
Sore throat,Cough,Headache,Stuffy nose,Sneezing,,,
Sore throat,Cough,Headache,Stuffy nose,Sneezing,,,
Sore throat,Cough,Headache,Stuffy nose,Sneezing,,,
Sore throat,Cough,Headache,Stuffy nose,Sneezing,,,
Sore throat,Cough,Headache,Stuffy nose,Sneezing,,,
Sore throat,Cough,Headache,Stuffy nose,Sneezing,,,
Sore throat,Cough,Headache,Stuffy nose,Sneezing,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
