Symptoms,,,,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
pain,weakness,stiffness,joint noises and decreased range of motion,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
runny nose,cough,body aches,,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
raised bumps that are red or white,a rash,which might be painful or itchy,scaly or rough skin,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
Persistent or sudden onset of a headache,A headache that changes or is different,Loss of feeling or tingling.,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
swelling,left shoulder pain,right shoulder pain,and stiffness,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
ill and premature,,,,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
BACK PAIN,low back pain,Muscle or ligament strain,back pain,,,,
high fever,ever,dry cough,tiredness,sore throat,diarrhoea,headache,loss of taste or smell
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
Immediate,throbbing pain,Swelling,Bruising,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
shoulder pain,,,,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
A dull ache,Throbbing,Burning,Squeezing,,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
Severe,sudden eye pain,Hazy,blurred,or double vision.,,,
persistent urge to urinate,pain and burning with urination,extremely strong-smelling urine,,,,,
chest pain,vomiting,nausia,,,,,
